principalInvestigator,country,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,locality,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,fatal,monthCollected,dayCollected,minimumElevationInMeters,maximumElevationInMeters,quantityDetected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,horizontalDatum,georeferenceProtocol,minimumDepthInMeters,maximumDepthInMeters,habitat,eventRemarks,taxTeam,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,lifeStage,establishmentMeans,sex,basisOfRecord,diseaseLineage,genotypeMethod,specimenDisposition,testMethod,diagnosticLab,zeScore,Diagnostics_bcid,Sample_bcid,expeditionCode,projectId,
Vance Vredenburg,France,1993,42.75917,-0.4166667,30,Adeline Loyau,Pyrenees Mountains,MNHN1994.9987,Alytes,obstetricans,swabbing,Bd,FALSE,FALSE,,,2230,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2d3444471bf1df122f246c638aa8d12cb,https://n2t.net/ark:/21547/CwG2MNHN1994.9987,pyrenees,174,
Vance Vredenburg,France,1993,42.75917,-0.4166667,30,Adeline Loyau,Pyrenees Mountains,MNHN1994.9988,Alytes,obstetricans,swabbing,Bd,FALSE,FALSE,,,2230,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH20e2a74674d0859fcd1bafd6917383961,https://n2t.net/ark:/21547/CwG2MNHN1994.9988,pyrenees,174,
Vance Vredenburg,France,1993,42.75917,-0.4166667,30,Adeline Loyau,Pyrenees Mountains,MNHN1994.9989,Alytes,obstetricans,swabbing,Bd,FALSE,FALSE,,,2230,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2d70687a7198508e0d3178fef075d85e4,https://n2t.net/ark:/21547/CwG2MNHN1994.9989,pyrenees,174,
Vance Vredenburg,France,1993,42.75917,-0.4166667,30,Adeline Loyau,Pyrenees Mountains,MNHN1994.9990,Alytes,obstetricans,swabbing,Bd,FALSE,FALSE,,,2230,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2bc6114e834b1f37295f949e5242e1e62,https://n2t.net/ark:/21547/CwG2MNHN1994.9990,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2771,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH203339f3db16ca40be6127ac558ff063a,https://n2t.net/ark:/21547/CwG2MNHN1995.2771,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2772,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH22209721737ec36a0795bb102122e3d16,https://n2t.net/ark:/21547/CwG2MNHN1995.2772,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2773,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH23c7376f9d8921e641afe46a3e5d9ed93,https://n2t.net/ark:/21547/CwG2MNHN1995.2773,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2774,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2235ecd7847e52f01f174f08419893d4d,https://n2t.net/ark:/21547/CwG2MNHN1995.2774,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2776,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2a1d31fe4297653c9c7dbe2ececcf42a2,https://n2t.net/ark:/21547/CwG2MNHN1995.2776,pyrenees,174,
Vance Vredenburg,France,1995,43.29888889,-1.49916667,30,Alessandra Moyer,Pyrenees Mountains,MNHN1995.2777,Rana,temporaria,swabbing,Bd,FALSE,FALSE,,,130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/CwH2fa03fa75d7ce31ccb94c49c6c0dcc45b,https://n2t.net/ark:/21547/CwG2MNHN1995.2777,pyrenees,174,
